"There was a problem with the newsletter subscription: This email address is already assigned to another user.","Houve um problema com a assinatura da newsletter: este e-mail já está atribuído a outro usuário."
"Confirmation request for newsletter subscription has been sent.","O pedido de confirmação para assinatura da newsletter foi enviado."
"Thank you for your newsletter subscription.","Obrigado(a) pela sua assinatura da newsletter."
"The password cannot be empty.","A senha não pode estar vazia."
"Default Design","Design Padrão"
"Compact Design","Design Compacto"
"Text Area","Área de Texto"
"Pop-up Window","Janela Popup"
"Move Checkout to Cart","Mover Checkout para Carrinho"
"Expand Checkout steps","Expandir Passos do Checkout"
"Move Cart to Checkout","Mover Carrinho para Checkout"
"Turn Off the extension","Desativar a extensão"
"Mark the checkbox","Marcar a caixa de seleção"
"Display a pop-up window","Mostrar uma janela popup"
"Coupon code ""%s"" was applied.","O código de cupom ""%s"" foi aplicado."
"Coupon code was canceled.","O código de cupom foi cancelado."
"Cannot update the item.","Não foi possível atualizar o item."
"Cannot update shopping cart.","Não foi possível atualizar o carrinho."
"Login and password are required.","O usuário e a senha são necessários."
"Invalid email address.","E-mail inválido."
"A new password has been sent.","Uma nova senha foi enviada."
"This email address was not found in our records.","Este e-mail não foi encontrado em nossos registros."
"Invalid checkout type.","Tipo de checkout inválido."
"Please check shipping address information.","Por favor, verifique os dados do endereço de entrega."
"Please check billing address information.","Por favor, verifique os dados do endereço de cobrança."
"Please select valid payment method.","Por favor, selecione um método de pagamento válido."
"Invalid method: %s","Método inválido: %s"
"Do you have any gift items in your order?","Você tem itens de presente em seu pedido?"
"Add gift options.","Adicionar opções de presente."
"Gift Options for the Entire Order.","Opções de Presente para Todo o Pedido."
"Add gift options for the Entire Order","Adicionar opções de presente para todo o pedido"
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar este campo em branco se você não quiser adicionar uma mensagem de presente para todo o pedido."
"Gift Options for Individual Items","Opções de Presente para Itens Individuais"
"Add gift options for Individual Items","Adicionar opções de presente para itens individuais"
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar este campo em branco se você não quiser adicionar uma mensagem de presente para o item."
"Item %d of %d","Item %d de %d"
"About the calendar","Sobre o calendário"
"DHTML Date/Time Selector","Seletor DHTML de Dia/Hora"
"For latest version visit: %s","Visite, para obter a versão mais recente: %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a GNU LGPL. Veja %s para mais detalhes."
"Date selection:","Seleção da data:"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse sobre qualquer um dos botões para selecionar mais rapidamente."
"Time selection:","Seleção da hora:"
"- Click on any of the time parts to increase it","- Clique em qualquer lugar da hora para aumentá-la"
"- or Shift-click to decrease it","- ou aperte + clique para diminuí-la"
"- or click and drag for faster selection.","- ou clique e arraste para selecioná-la mais rapidamente."
"Prev. year (hold for menu)","Ano Anterior (segure para acessar o menu)"
"Prev. month (hold for menu)","Mês Anterior (segure para acessar o menu)"
"Go Today","Ir para Hoje"
"Next month (hold for menu)","Próximo Mês (segure para acessar o menu)"
"Next year (hold for menu)","Próximo Ano (segure para acessar o menu)"
"Select date","Selecionar data"
"Drag to move","Arrastar para mover"
"Display %s first","Mostrar primeiro(s) %s"
"(Shift-)Click or drag to change value","Clique (aperte + clique) ou arraste para alterar o valor"
"Time:","Hora:"
"Street Address %s","Endereço %s"
"Already a registered customer? Please click here to login.","Já é um cliente cadastrado? Clique aqui para fazer login."
"Please enter your email and password below to log in.","Por favor, digite abaixo seu e-mail e senha para fazer login."
"Please enter your email below and we will send you a new password.","Por favor, digite seu e-mail abaixo e nós lhe enviaremos uma nova senha."
"Required Fields","Campos Obrigatórios"
"« Back to Login","« Voltar para Login"
"« Back to Checkout","« Voltar para Checkout"
"Coupon code:","Código de cupom:"
"Create an account","Criar uma conta"
"Accept & return to the checkout","Aceitar e Voltar para Checkout"
"Don\'t accept & close this window","Não Aceitar e Fechar a Janela"
"Edit item parameters","Editar parâmetros do item"
"Edit Your Cart","Clique aqui para editar seu carrinho."
"Subscribe to newsletter", "Sim, eu quero receber informações sobre ofertas, promoções e lançamentos."
